clinical,臨床的な
pariental lobe,頭頂葉
peripheral,末梢の
split brain,分離脳
sympathetic nervous system,交感神経系
thalamus,視床
ulcer,潰瘍
chronological age,生活年齢
pessimistic,悲観的な
predisposition,傾向
trait,特性
self-efficacy,自己効力感
authoritarian personality,権威主義的パーソナリティ
convergent thinking,収束的思考
crystallised intelligence,結晶性知能
fluid intelligence,流動性知能
divergent thinking,拡散的思考
extroversion,外向性
idiographic,個性記述的
intelligence quontient,知能指数
introversion,内向性
nomothetic,法則定立的
optimist,楽観主義者
projective technique,投影法
theory of multiple intelligence,多重知能理論
trait theory,特性論
typology,類型論
triarchic theory,鼎立理論
agreeableness,協調性
conscientiousness,誠実性
lie scale,虚偽尺度
openness,解放性
social desirability,社会的望ましさ
Thematic Apperception Test,主題統覚検査
terror,恐怖
annoyance,いらだち
distraction,気晴らし
hostility,敵意
hyperarousal,過覚醒
intrinsic,内発的な
unpleasant,不快な
hierarchy,階層
malicious,悪意のある
affiliation motivation,親和動機付け
functional autonomy,機能的自律性
primary need,一次的欲求
secondary need,二次的欲求
undermining effect,アンダーマイニング効果
contempt,軽蔑
deficieny needs,欠乏欲求
detour behavior,迂回行動
euphoria,多幸感
motive to avoid success,成功回避同期
order,秩序
school,学派
period,期間
common,一般の
present,現在の、提示する
nature,性質、本質
context,文脈、背景、状況
difficulty,障害、困難
appropriate,適切な
external,外的な
interpersonal,対人関係の
notion,概念、考え
orientation,方向付け
adjustment,調整
material,刺激
indicate,示唆する
severe,重度な
subjective,主観的な
consistent,一貫した
phase,段階、時期
emphasis,強調、重視
complicated,複雑な
frequently,頻繁に
concern,関係する、心配させる
identify,特定する、同一化する
impairment,障害、損傷
serious,深刻な
attempt,試みる
finding,結果
alternative,選択肢
critical,重大な、批判的な
deal with,扱う
empirical,実証的な、経験的な
principle,原則
represent,表す
underlying,根底にある、基礎をなす
classification,分類
epistemic,認識論の、認識の
overcome,克服する
rely,依存する、頼る
activation,活性化
assume,想定する、仮定する
draw,導き出す
facilitate,促進する
note,書き留める、注意する
objective,客観的な
race,種
relevant,関連する、妥当な
convey,伝える
encounter,直面する、出会う
multiple,複数の
rigid,柔軟性のない
sequence,連続
shape,方向付ける、形成する
apparent,明白な、見かけ上の
concrete,具体的な
engage,携わる
ethical,倫理的な
expect,期待する
premise,前提、仮定
regard,見なす、評価する、考える
systematic,体系的な
crucial,決定的な、重要な
consequence,結果
demonstrate,証明する
ideal,理想
discipline,学問、訓練、規律
intense,激しい、強い
intensity,強度、激しさ
realize,認識する、理解する
sensitivity,感受性
stability,安定性
universal,普遍的な、一般的な
inference,推論
interpret,解釈する
principal,主要な、重要な
sophisticated,洗練された、高度な
agency,仲介
ambiguous,曖昧な、多義的な
attribute,帰属する、〜のせいにする
discrete,ばらばらの、個々の
evaluate,評価する
intact,無傷の、完全な
ordinary,いつもの
readily,容易に
survival,生存
accomplish,達成する
deliberate,故意に、慎重な
evoke,引き起こす
identical,同一の、一卵性の
manifestation,表れ
profound,重大な、批判的な
valence,感情価
adverse,有害な、逆の
appreciation,認識、理解
comprehensive,包括的な、広範囲の
discriminate,区別する、弁別する
enhance,高める
foster,育成する
innate,生得的な
inspection,調査、検査
intensive,集中的な、徹底的な
internalizing,内在化した
inherent,固有の、生まれつきの
integrate,統合する
intention,相互作用する
overlap,重複
prevalence,有病率
prohibition,禁止
reasonable,合理的な
realm,領域
replace,再発
simultaneously,同時に
superficial,表層的な
surrounding,環境
temporary,一次的な
transmission,伝達
controversy,論争
voluntary,自発的な
continuity,連続性
employ,使う、野党
extensive,広範囲の
implication,意味、ほのめかし
incidence,発生
magnitude,大きさ
moderate,中程度の
outline,概説する
pose,提示する
priority,優先事項
contradictory,対立した、矛盾した
entity,実体
excessive,過剰な
exert,行使する
inevitably,必然的に
intake,摂取
interfere,妨害する
interrelated,相互に関係のある
mataphor,メタファー
mortality rate,死亡率
mutual,相互の
odd,奇妙な
persist,主張する、固執する
pursuit,追求、研究
reassurance,再確認、再保証
repertoire,レパートリー
repetition,反復
resist,抵抗する
self-directed,自発的な
static,静的な、固定的な
suppress,抑制する
suspicion,疑い
undergraduate,大学生
uniform,同一の
vulnerable,〜を受けやすい、〜に弱い
credibility,信用性
eclecticism,折衷論
fragile,もろい
illuminate,明らかにする
incorporate,組み入れる
vulnerability,脆弱性
inferior,劣った
initiate,始める
insistence,主張、こだわり
instinct,本能
intricate,複雑な
justify,正当化する、弁明する
mention,述べる
overestimate,過大評価する
proceed,進む、〜し続ける
prominence,卓越
prospect,見通し
provoke,引き起こす
puzzle,悩ませる
raw,加工していない
refine,改良する
restore,資源
scrutinize,精査する、吟味する
synthesize,統合する
transient,一時的な
undergo,経験する、〜を受ける
accompany,伴わせる
alleviate,軽減する
colleague,仲間
confuse,混乱する
connotation,意味
correspond,一致する
defect,障害、欠点
derive,由来する
devote,ささげる、専念する
disrupt,崩壊させる
distort,ゆがめる
dominant,支配的な
inclination,傾向、好み
interrupt,妨害する
locate,配置する
mediator,媒介物
optimize,最大限に活用する
originate,生じる
overwhelm,苦しめる、悩ませる
parallel,類似した
postulate,仮定する
presume,仮定する、推定する
property,特性
rear,育てる
render,与える、寄与する
reproduce,再生する
trigger,きっかけとなる
undertake,引き受ける
unify,統合する
